Participant_Code,Facility_Code,Status,Year,Avg_Outage_MW_Loss,Summed_Outage_MW_Loss
GW,BW1_GREENWATERS_G2,Approved,2016,49.69,15751.38
MELK,MELK_G7,Approved,2016,87.71,13771.07
AURICON,AURICON_PNJ_U1,Approved,2016,51.42,10696.28
PMC,PMC_AG,Approved,2016,131.78,9093.09
PJRH,PJRH_GT11,Approved,2016,72.61,5881.52
COLLGAR,COLLGAR_WF1,Approved,2016,149.00,4320.86
KORL,KORL_GT3,Approved,2016,76.23,4040.32
AUXC,AUXC_WGP,Approved,2016,13.27,2734.14
TRMOS,TIWEST_COG1,Approved,2016,18.96,1232.43
ENRG,ENRG_KALGOORLIE_GT3,Approved,2016,56.32,1182.80
PUG,PERTHENERGY_KORL_GT1,Approved,2016,33.98,815.47
STHRNCRS,STHRNCRS_EG,Approved,2016,23.00,299.00
TSLA_MGT,TESLA_PICTON_G1,Approved,2016,80.00,160.00
MUND,MUNDARING_GT1,Approved,2016,36.80,147.20
EUCT,GRASMERE_WF1,Approved,2016,5.89,64.80
MCG,MWF_MUMBIDA_WF1,Approved,2016,55.00,55.00
WGUTD,WEST_KALGOORLIE_GT2,Approved,2016,27.00,54.00
DNHR,DNHR_DENMARK_WF1,Approved,2016,1.44,1.44
AURICON,AURICON_PNJ_U1,Approved,2017,44.16,21639.55
GW,BW1_GREENWATERS_G2,Approved,2017,85.14,19326.56
MELK,MELK_G7,Approved,2017,58.11,10285.40
PMC,PMC_AG,Approved,2017,141.21,5648.44
TRMOS,TIWEST_COG1,Approved,2017,29.17,5016.67
PJRH,PJRH_GT11,Approved,2017,67.21,4839.28
KORL,KORL_GT3,Approved,2017,61.57,4679.68
PUG,PERTHENERGY_KORL_GT1,Approved,2017,30.46,4112.10
COLLGAR,COLLGAR_WF1,Approved,2017,61.93,2787.06
AUXC,AUXC_WGP,Approved,2017,14.74,1768.76
MCG,MWF_MUMBIDA_WF1,Approved,2017,46.94,563.33
MUND,MUNDARING_GT1,Approved,2017,26.57,398.58
STHRNCRS,STHRNCRS_EG,Approved,2017,16.26,292.70
WGUTD,WEST_KALGOORLIE_GT2,Approved,2017,27.66,221.29
ENRG,ENRG_KALGOORLIE_GT3,Approved,2017,27.41,191.86
TSLA_MGT,TESLA_PICTON_G1,Approved,2017,42.47,169.90
EUCT,GRASMERE_WF1,Approved,2017,21.60,64.80
DNHR,DNHR_DENMARK_WF1,Approved,2017,1.44,1.44
